member_casual,end_station_name,end_count
casual,Public Rack - Milwaukee Ave & Diversey Ave,154
casual,Marshfield Ave & 44th St,153
casual,Lavergne & Fullerton,152
casual,Princeton Ave & Garfield Blvd,152
casual,Kenosha & Wellington,147
casual,Halsted St & 51st St,146
casual,Lawndale Ave & 111th St,146
casual,Narragansett & Irving Park,145
casual,Hale Ave & 107th St,144
casual,Sacramento Blvd & Franklin Blvd,144
casual,Malcolm X College,142
casual,Western Ave & 104th St,142
casual,Prospect Sq & 91st St,140
casual,Komensky Ave & 31st St,140
casual,Kostner Ave & Wrightwood Ave,139
casual,Racine Ave & Garfield Blvd,137
casual,Rainbow Beach,136
casual,Francisco Ave & 47th St,135
casual,Kilpatrick Ave & Grand Ave,133
casual,St Louis Ave & 59th St,132
casual,Cottage Grove Ave & 71st St,132
casual,Austin Blvd & Chicago Ave,129
casual,Austin Blvd & Madison St,128
casual,Halsted St & 78th St,126
casual,Sacramento Ave & Pershing Rd,126
casual,Seeley Ave & Garfield Blvd,125
casual,Latrobe Ave & Chicago Ave,122
casual,Stewart Ave & 63rd St,120
casual,Public Rack - Christiana Ave & Belmont Ave,120
casual,Halsted & 63rd - Kennedy-King Vaccination Site,120
casual,Cicero Ave & Lake St,118
casual,Pulaski Rd & 21st St,118
casual,Vernon Ave & 75th St,117
casual,Commercial Ave & 83rd St,116
casual,Stony Island Ave & 90th St,116
casual,Chicago State University,115
casual,Kilbourn & Belden,114
casual,Central Ave & Lake St,114
casual,Jeffery Blvd & 76th St,114
casual,Baltimore Ave & 87th St,114
casual,N Damen Ave & W Chicago Ave,113
casual,California Ave & Marquette Rd,113
casual,Meade Ave & Diversey Ave,112
casual,Lockwood Ave & Wrightwood Ave,111
casual,Dauphin Ave & 103rd St,109
casual,Cornell Dr & Hayes Dr,108
casual,Komensky Ave & 55th St,108
casual,Narragansett Ave & School St,108
casual,Houston Ave & 92nd St,107
casual,California Ave & Winona St,107
casual,Lamon Ave & Armitage Ave,106
casual,Ping Tom Park (East),105
casual,Green St & Madison Ave*,105
casual,Pulaski Rd & Lake St,103
casual,Long Ave & Belden Ave,103
casual,Oak Park & Wellington,103
casual,Long Ave & Belmont Ave,103
casual,Marquette Ave & 89th St,101
casual,Indiana Ave & 103rd St,100
casual,Michigan Ave & 71st St,100
casual,California Ave & 26th St,100
casual,Cicero Ave & Grace St,99
casual,Rockwell St & 57th St,99
casual,Pulaski Rd & Congress Pkwy,99
casual,Public Rack - Mozart Elementary School,99
casual,Kedzie Ave & 45th St,98
casual,Orange & Addison,97
casual,Tripp Ave & 65th St,97
casual,Fullerton & Monitor,96
casual,Homan Ave & 65th St,96
casual,Halsted St & 96th St,96
casual,Vernon Ave & 107th St,96
casual,Lawndale Ave & 30th St,95
casual,Wells St & Institute Pl,95
casual,W 103rd St & S Avers Ave,95
casual,Central Ave & Roscoe St,95
casual,Ellis Ave & 83rd St,94
casual,Western Ave & Ardmore Ave,94
casual,Artesian Ave & 55th St,93
casual,Damen Ave & 51st St,92
casual,Elizabeth St & 92nd St,92
casual,Central Park Blvd & 5th Ave,92
casual,Kedzie Ave & 52nd St,91
casual,Lamon Ave & Chicago Ave,91
casual,Central Ave & Harrison St,91
casual,Dauphin Ave & 87th St,90
casual,Karlov Ave & Madison St,90
casual,Laramie Ave & Madison St,90
casual,Ashland Ave & Pershing Rd,90
casual,Kostner Ave & Armitage Ave,90
casual,N Clark St & W Elm St,89
